time,probe,pressure
6.70743,sn4,5.77777
6.91794,sn4,5.60279
7.13055,sn4,5.44742
7.34528,sn4,5.31007
7.56216,sn4,5.18926
7.78122,sn4,5.08369
8.00246,sn4,4.99195
8.22591,sn4,4.91276
8.4516,sn4,4.84504
8.67955,sn4,4.78799
8.90977,sn4,4.74105
9.1423,sn4,4.70326
9.37715,sn4,4.67387
9.61435,sn4,4.65237
9.85392,sn4,4.63812
10.0959,sn4,4.63041
10.3403,sn4,4.62867
10.5871,sn4,4.63241
10.8364,sn4,4.64115
11.0882,sn4,4.65449
11.3425,sn4,4.67187
11.5994,sn4,4.69305
11.8588,sn4,4.71769
12.1208,sn4,4.74543
12.3855,sn4,4.77604
12.6527,sn4,4.80926
12.9227,sn4,4.84488
13.1954,sn4,4.88293
13.4707,sn4,4.92307
13.7489,sn4,4.96512
14.0298,sn4,5.0089
14.3135,sn4,5.05427
14.6001,sn4,5.10107
14.7522,sn4,5.12488
14.7522,sn4,5.12488
